"GEOID20","assignment"
"37025012-12",11
"37025012-11",11
"37025012-10",11
"3700300T2T3",2
"3712500EKWD",11
"371370005AP",8
"3704300TUSQ",9
"37191000001",4
"3715900019A",11
"370510G3A-2",4
"37167000022",11
"370510G3A-1",4
"37167000021",11
"3700100003S",1
"37115GRAPEV",9
"37167000020",11
"37183004-05",13
"37125000WND",11
"37191000029",4
"37183004-04",13
"3700100003N",1
"37191000028",4
"37183004-03",13
"37191000027",4
"370210044.1",9
"37183004-02",13
"37191000026",4
"37183004-01",13
"37167000028",11
"37191000024",4
"3716300CLNE",4
"37167000027",11
"37167000026",11
"37167000025",11
"3700100003W",1
"37167000024",11
"37167000023",11
"37025012-03",11
"370810NWASH",1
"37023000066",2
"37023000065",2
"37123000STA",11
"37023000064",2
"37023000062",2
"37025012-09",11
"37147001501",3
"37025012-08",11
"37025012-06",11
"37025012-05",11
"37025012-04",11
"37147001509",3
"37147001507",3
"37147001506",3
"37191000018",4
"37191000017",4
"37023000070",2
"3714100LT18",8
"37191000016",4
"3712700P06A",3
"37147001503",3
"37191000015",4
"37191000014",4
"37067000405",6
"37191000013",4
"37067000404",6
"3712500WKWD",11
"3707700EAOX",10
"37067000403",6
"37067000402",6
"37067000401",6
"3713300HN14",8
"37175000TC1",9
"3703100ATSL",8
"371150SANDY",9
"37175000TC7",9
"3719700EBND",6
"37191000023",4
"37191000022",4
"37191000021",4
"3703100MASM",8
"3712700P05A",3
"370970000CD",2
"3719905-GRE",2
"3708700BE56",9
"371570000IR",6
"3719700DCRK",6
"370210050.1",9
"370970000CS",2
"3706100KENA",4
"37001000011",5
"37081000RC2",1
"37081000RC1",1
"3710900LS12",7
"371170000BG",3
"370210022.2",9
"3712700P08A",3
"371490TR123",9
"37001000013",5
"37125000BEN",11
"3703100BFT2",8
"3703100BFT1",8
"3710900LB34",7
"3708300CONC",3
"3705100LR63",4
"3705500KTHK",3
"370970000FT",2
"37001000001",5
"3708100H29B",1
"3716300GIDD",4
"3708100H29A",1
"37005000004",2
"3712700P07A",3
"37005000001",2
"37001000007",5
"370030000B1",2
"37001000005",1
"37025001-02",11
"37001000004",1
"37001000002",5
"370970000EM",2
"3719700SLIB",6
"37025001-08",11
"37025001-07",11
"370030000B2",2
"37025001-04",11
"37125000EWD",11
"37143BETHEL",3
"3719300113A",2
"370970DV2-A",2
"3708500PR16",13
"370070WADES",11
"3719903-EGY",2
"37155000041",4
"37155000040",4
"3703100BOGU",8
"3714500HLWY",5
"370970DV2-B",2
"37183016-06",13
"37183016-05",13
"37183016-04",13
"37183016-03",13
"37183016-02",13
"37183016-01",10
"3708500PR01",13
"370210041.1",9
"3703100IBSP",8
"3708500PR08",13
"3708500PR07",13
"37155000034",4
"37155000033",4
"3719908-CRA",2
"3703100CISL",8
"37155000030",4
"370830BUTWD",3
"37131SEABOA",3
"37025001-11",11
"37025001-10",11
"370210019.1",9
"37155000039",4
"37155000038",4
"37057000088",1
"37155000037",4
"37155000036",4
"37155000035",4
"37057000084",6
"3700700GULL",11
"37057000082",6
"3719300115A",2
"3704700P02B",4
"37057000076",6
"37057000074",6
"37057000072",6
"37147001101",3
"370810MON2B",1
"37057000070",6
"370810MON2A",1
"371170000HS",3
"37183016-09",13
"37183016-07",13
"37057000078",6
"3714500WDSD",5
"371170000HM",3
"3704700P01A",4
"37125000VSS",11
"3707500WEST",9
"3714701508B",3
"3714701508A",3
"37037000085",5
"37183016-11",10
"37183016-10",10
"3718100HTOP",10
"3715500005A",4
"371170000GR",3
"3705500CHCA",3
"371170000GN",3
"370210063.1",9
"3700500006A",2
"37051SL78-3",4
"371050000D2",5
"371050000D1",5
"37037000075",5
"37037000078",5
"3714701507B",3
"37065001401",3
"37099000CAN",9
"3703300ANDE",1
"37099000CAS",9
"371050000C2",5
"371370002OT",8
"371050000C1",5
"3707700OKHL",10
"37097000ST5",2
"37097000ST4",2
"37097000ST3",2
"37097000ST2",2
"37097000ST1",2
"3713300NM13",8
"37183005-08",5
"37183005-07",5
"37097000ST6",2
