iteration,score,cut_edges,county_splits
0,867.73638655739,722,14.573638655739
1,878.928829181522,734,14.4928829181522
2,898.121177881766,739,15.9121177881766
3,884.412613232967,728,15.6412613232967
4,870.984952365288,716,15.4984952365288
5,881.340607243879,715,16.6340607243879
6,886.469220180577,721,16.5469220180577
7,897.484047917167,720,17.7484047917167
8,905.348545954786,728,17.7348545954786
9,906.43098809811,726,18.043098809811
10,906.43098809811,726,18.043098809811
11,922.129379240043,738,18.4129379240043
12,938.002374053047,753,18.5002374053047
13,938.002374053047,753,18.5002374053047
14,952.095965696918,765,18.7095965696918
15,948.090285509042,764,18.4090285509042
16,919.391223749808,757,16.2391223749808
17,935.100525116808,773,16.2100525116808
18,912.862688367707,753,15.9862688367707
19,914.306347470292,754,16.0306347470292
20,902.224929751314,742,16.0224929751314
21,912.5606763395,741,17.15606763395
22,887.929143061063,716,17.1929143061063
23,884.841470042628,713,17.1841470042628
24,834.357037224537,676,15.8357037224537
25,854.65569319867,676,17.865569319867
26,840.848025274582,664,17.6848025274582
27,825.304435741888,650,17.5304435741888
28,823.326339084892,648,17.5326339084892
29,846.206810157762,659,18.7206810157762
30,837.172057346813,660,17.7172057346813
31,833.246231560292,656,17.7246231560292
32,888.508294685886,713,17.5508294685886
33,888.508294685886,713,17.5508294685886
34,905.136598862915,720,18.5136598862915
35,897.756216212186,723,17.4756216212186
36,854.958840507477,693,16.1958840507477
37,854.958840507477,693,16.1958840507477
38,869.561540972023,706,16.3561540972023
39,861.353454314727,683,17.8353454314727
40,878.425961198853,700,17.8425961198853
41,839.594364394954,672,16.7594364394954
42,845.492541400904,664,18.1492541400904
43,857.568555301065,665,19.2568555301065
44,845.428287373563,667,17.8428287373563
45,845.428287373563,667,17.8428287373563
46,876.145109531598,696,18.0145109531598
47,876.556960337944,695,18.1556960337944
48,878.000459043962,694,18.4000459043962
49,874.82356742842,695,17.982356742842
50,865.19341896699,688,17.719341896699
51,853.929515803806,687,16.6929515803806
52,855.929515803806,679,17.6929515803806
53,828.517117056133,666,16.2517117056133
54,828.517117056133,666,16.2517117056133
55,833.314896233055,658,17.5314896233055
56,848.283969572279,661,18.7283969572279
57,830.517923788527,657,17.3517923788527
58,841.019232030879,657,18.4019232030879
59,855.131434754641,660,19.5131434754641
60,852.824725400295,656,19.6824725400295
61,867.494478679387,659,20.8494478679387
62,889.254401644298,667,22.2254401644298
63,934.715091577219,691,24.3715091577219
64,931.852777724113,686,24.5852777724113
65,942.421079161951,705,23.7421079161951
66,945.200137684129,709,23.6200137684128
67,943.200137684129,717,22.6200137684128
68,944.011593850542,718,22.6011593850542
69,931.60150441753,707,22.460150441753
70,951.99107492121,718,23.399107492121
71,943.867837838939,723,22.0867837838939
72,966.179773583911,735,23.1179773583911
73,980.159735700393,739,24.1159735700392
74,952.79965961669,711,24.179965961669
75,966.79965961669,735,23.179965961669
76,961.971992091096,744,21.7971992091096
77,969.797405208206,751,21.8797405208206
78,1006.8227791294,790,21.6822779129402
79,1007.15550094274,791,21.6155500942739
80,1007.15550094274,791,21.6155500942739
81,961.050155523317,758,20.3050155523317
82,979.508217598725,776,20.3508217598725
83,980.354544487311,786,19.4354544487311
84,945.354544487311,751,19.4354544487311
85,951.722190837201,746,20.5722190837201
86,963.964877145934,748,21.5964877145934
87,974.877522850492,749,22.5877522850492
88,974.670299516808,752,22.2670299516807
89,967.273880205403,741,22.6273880205403
90,985.075858527499,748,23.7075858527499
91,971.214975983642,734,23.7214975983642
92,976.214975983642,739,23.7214975983642
93,976.214975983642,739,23.7214975983642
94,951.003797332758,711,24.0003797332758
95,951.003797332758,711,24.0003797332758
96,946.878643647015,707,23.9878643647015
97,922.140584225168,682,24.0140584225168
98,914.808093225618,686,22.8808093225618
99,919.679730953357,700,21.9679730953357
100,922.203776480517,695,22.7203776480517
101,930.261644661542,687,24.3261644661542
102,967.323725448144,724,24.3323725448144
103,933.999130340379,691,24.2999130340379
104,951.824503548731,707,24.4824503548731
105,961.947071585367,707,25.4947071585367
106,961.771119815719,706,25.5771119815719
107,973.771119815719,718,25.5771119815719
108,955.771119815719,700,25.5771119815719
109,939.128268005489,710,22.9128268005489
110,944.40984657842,712,23.240984657842
111,949.374916836342,717,23.2374916836342
112,929.757097971513,712,21.7757097971513
113,913.937024655687,696,21.7937024655687
114,911.612582896142,694,21.7612582896142
115,894.123247756556,690,20.4123247756556
116,902.996282346513,696,20.6996282346513
117,892.900180192251,696,19.6900180192251
118,889.080780245063,705,18.4080780245063
119,899.624508883926,717,18.2624508883925
120,889.58023074716,706,18.358023074716
121,889.332362935712,707,18.2332362935712
122,887.239353814991,705,18.2239353814991
123,874.135945602218,692,18.2135945602218
124,890.971121639229,698,19.2971121639229
125,859.896279601627,670,18.9896279601627
126,853.099158804615,665,18.8099158804615
127,858.099158804615,670,18.8099158804615
128,841.263982767604,664,17.7263982767604
129,853.374332208257,673,18.0374332208257
130,850.220912227424,671,17.9220912227424
131,872.100180186997,681,19.1100180186997
132,867.904036879938,679,18.8904036879938
133,868.559285829354,682,18.6559285829354
134,857.559285829354,671,18.6559285829354
135,868.800293752386,682,18.6800293752386
136,862.649937224894,676,18.6649937224894
137,856.284088678214,667,18.9284088678214
138,873.710053047549,684,18.9710053047549
139,873.710053047549,684,18.9710053047549
140,873.160594846117,684,18.9160594846117
141,876.191427838948,686,19.0191427838948
142,869.703072213097,687,18.2703072213097
143,861.807773365389,678,18.3807773365389
144,861.807773365389,678,18.3807773365389
145,861.890191511751,679,18.2890191511751
146,861.890191511751,679,18.2890191511751
147,883.465636962529,687,19.6465636962529
148,881.465636962529,685,19.6465636962529
149,882.226727314086,686,19.6226727314086
150,882.226727314086,686,19.6226727314086
151,883.403467055293,687,19.6403467055293
152,880.541137796874,684,19.6541137796874
153,879.572855027631,683,19.6572855027631
154,867.572855027631,671,19.6572855027631
155,908.22831341872,721,18.722831341872
156,904.484312295654,717,18.7484312295654
157,877.908866844875,704,17.3908866844875
158,885.94178535006,712,17.394178535006
159,869.349717140265,718,15.1349717140265
160,864.031077677359,713,15.1031077677359
161,839.905675525089,689,15.0905675525089
162,823.870309647379,673,15.0870309647379
163,823.870309647379,673,15.0870309647379
164,821.017114095318,674,14.7017114095318
165,841.484578582822,696,14.5484578582822
166,833.880465391315,689,14.4880465391315
167,831.880465391315,687,14.4880465391315
168,844.767372627427,697,14.7767372627427
169,806.47784318067,661,14.547784318067
170,817.5053469862,672,14.55053469862
171,825.579493988211,680,14.5579493988211
172,849.243565046905,702,14.7243565046905
173,874.280418250854,715,15.9280418250854
174,895.227772345772,712,18.3227772345772
175,891.77448951088,705,18.677448951088
176,870.555697309158,686,18.4555697309158
177,870.555697309158,686,18.4555697309158
178,882.795549707682,688,19.4795549707682
179,850.205117771626,657,19.3205117771626
180,850.205117771626,657,19.3205117771626
181,917.086348331756,702,21.5086348331755
182,926.094425557565,711,21.5094425557565
183,925.094425557565,710,21.5094425557565
184,920.094425557565,705,21.5094425557565
185,932.987057904618,716,21.6987057904618
186,935.907103830757,719,21.6907103830757
187,927.907103830757,711,21.6907103830757
188,924.991779966517,712,21.2991779966517
189,917.589925702873,715,20.2589925702873
190,916.311714950461,714,20.2311714950461
191,921.4308713545,708,21.34308713545
192,921.4308713545,708,21.34308713545
193,917.215216193254,702,21.5215216193254
194,928.75091336623,702,22.675091336623
195,928.75091336623,702,22.675091336623
196,927.687434081042,701,22.6687434081042
197,933.653321169697,707,22.6653321169697
198,945.653321169697,709,23.6653321169697
199,947.59110443126,712,23.559110443126
200,952.198483884729,704,24.8198483884729
201,952.198483884729,704,24.8198483884729
202,952.198483884729,704,24.8198483884729
203,940.630919158789,691,24.9630919158789
204,942.324338464747,693,24.9324338464747
205,961.381226272263,712,24.9381226272263
206,960.351190316484,724,23.6351190316484
207,959.393713705426,724,23.5393713705426
208,952.166349337313,716,23.6166349337313
209,929.501526239435,703,22.6501526239435
210,900.174975600531,684,21.6174975600531
211,900.174975600531,684,21.6174975600531
212,902.052221490649,686,21.6052221490649
213,900.977403665412,685,21.5977403665412
214,939.153035189837,722,21.7153035189837
215,901.898920209449,685,21.6898920209449
216,892.104938773621,675,21.7104938773621
217,918.13149038509,690,22.813149038509
218,931.584224541877,692,23.9584224541877
219,935.607845873087,696,23.9607845873087
220,940.47846641091,712,22.847846641091
221,936.47846641091,708,22.847846641091
222,909.247082150549,691,21.8247082150549
223,913.545888346775,695,21.8545888346775
224,908.444063506603,687,22.1444063506603
225,908.444063506603,687,22.1444063506603
226,917.586817652242,686,23.1586817652242
227,927.949334330883,686,24.1949334330883
228,936.043412520462,693,24.3043412520462
229,945.412048412292,703,24.2412048412292
230,943.727853715795,701,24.2727853715795
231,943.727853715795,701,24.2727853715795
232,958.880313814432,712,24.6880313814432
233,964.541260199485,730,23.4541260199485
