iteration,score,cut_edges,dem_share_d1,dem_share_d2,dem_share_d3,dem_share_d4,dem_share_d5,dem_share_d6,dem_share_d7,dem_share_d8,dem_share_d9,dem_share_d10,dem_share_d11,dem_share_d12,dem_share_d13,dem_share_d14
0,3885.55285073261,807,0.54377902906111,0.685170477760078,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.604543630503165,0.422476213710661,0.582277711959659,0.463905537702713,0.356950926318767,0.328898782107656,0.28519069076044
1,3888.46973391369,808,0.54377902906111,0.685170477760078,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.604543630503165,0.422476213710661,0.542320642111854,0.463905537702713,0.389619576201359,0.328898782107656,0.28519069076044
2,3884.19324136551,804,0.54377902906111,0.685170477760078,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.501179167365527,0.422476213710661,0.652549711704996,0.463905537702713,0.389619576201359,0.328898782107656,0.28519069076044
3,3755.2279349113,795,0.54377902906111,0.685170477760078,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.501179167365527,0.422476213710661,0.652549711704996,0.463905537702713,0.287218628719276,0.328898782107656,0.385978003107368
4,3760.142036992,807,0.54377902906111,0.685170477760078,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.355927062338939,0.422476213710661,0.652549711704996,0.463905537702713,0.287218628719276,0.328898782107656,0.534508045917442
5,3762.8345501173,814,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653012544616041,0.531503390719657,0.460928652321631,0.355927062338939,0.422476213710661,0.652549711704996,0.463905537702713,0.287218628719276,0.328898782107656,0.534508045917442
6,3757.72821207112,809,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653375841548895,0.531503390719657,0.460928652321631,0.355927062338939,0.422476213710661,0.652549711704996,0.462651571783256,0.287218628719276,0.328898782107656,0.534508045917442
7,3757.66444731606,808,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653375841548895,0.531503390719657,0.460928652321631,0.328479017805574,0.422476213710661,0.652549711704996,0.462651571783256,0.287218628719276,0.355025386774984,0.534508045917442
8,3755.62336612566,808,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653375841548895,0.531503390719657,0.460928652321631,0.328479017805574,0.422476213710661,0.656694761668669,0.462651571783256,0.287218628719276,0.357067814814294,0.534508045917442
9,3761.3142899002,819,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653375841548895,0.451004498797993,0.460928652321631,0.328479017805574,0.502395823316532,0.656694761668669,0.462651571783256,0.287218628719276,0.357067814814294,0.534508045917442
10,3758.78702552948,812,0.678366903978407,0.553022265491281,0.468192442999819,0.391762064435606,0.653375841548895,0.451004498797993,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.462651571783256,0.287218628719276,0.357067814814294,0.523663456605699
11,3759.43051018075,813,0.717794481459783,0.553022265491281,0.468192442999819,0.391762064435606,0.613513382349373,0.451004498797993,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.462651571783256,0.287218628719276,0.357067814814294,0.523663456605699
12,3756.93047427677,815,0.461577095452357,0.553022265491281,0.468192442999819,0.391762064435606,0.613513382349373,0.451004498797993,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.72197248003998,0.287218628719276,0.357067814814294,0.523663456605699
13,3762.01938372882,827,0.449952957779607,0.553022265491281,0.468192442999819,0.391762064435606,0.613513382349373,0.460861029800255,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.72197248003998,0.287218628719276,0.357067814814294,0.523663456605699
14,3737.29368870127,803,0.449952957779607,0.553022265491281,0.29786858278921,0.391762064435606,0.613513382349373,0.460861029800255,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.72197248003998,0.445185949455701,0.357067814814294,0.523663456605699
15,3734.39734031987,798,0.449796542969429,0.554399880091504,0.29786858278921,0.391762064435606,0.613513382349373,0.460861029800255,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.72197248003998,0.445185949455701,0.357067814814294,0.523663456605699
16,3746.00189664806,820,0.449796542969429,0.672790010617181,0.29786858278921,0.391762064435606,0.613513382349373,0.460861029800255,0.460928652321631,0.328479017805574,0.502395823316532,0.664589582765203,0.60171982232435,0.445185949455701,0.357067814814294,0.523663456605699
17,3726.78375006414,818,0.449796542969429,0.672790010617181,0.29786858278921,0.391762064435606,0.613513382349373,0.45289065880472,0.460928652321631,0.328479017805574,0.511187591049927,0.664589582765203,0.60171982232435,0.445185949455701,0.357067814814294,0.523663456605699
18,3725.16804438379,815,0.449796542969429,0.672790010617181,0.29786858278921,0.391762064435606,0.613513382349373,0.45289065880472,0.460928652321631,0.328479017805574,0.511187591049927,0.637744382076761,0.60171982232435,0.445185949455701,0.357067814814294,0.550871497462729
19,3722.11304622109,823,0.449796542969429,0.672790010617181,0.29786858278921,0.391762064435606,0.613513382349373,0.447538204451333,0.460928652321631,0.328479017805574,0.517085093601023,0.637744382076761,0.60171982232435,0.445185949455701,0.357067814814294,0.550871497462729
20,3736.72696818615,853,0.449796542969429,0.672790010617181,0.316788984076328,0.391762064435606,0.613513382349373,0.447538204451333,0.460928652321631,0.328479017805574,0.517085093601023,0.637744382076761,0.60171982232435,0.445185949455701,0.339367085949476,0.550871497462729
21,3733.46616206342,845,0.449796542969429,0.672790010617181,0.316788984076328,0.391762064435606,0.613513382349373,0.524831429393806,0.460928652321631,0.328479017805574,0.437457075457613,0.637744382076761,0.60171982232435,0.445185949455701,0.339367085949476,0.550871497462729
22,3725.03215407281,828,0.449796542969429,0.672790010617181,0.316788984076328,0.43578517366305,0.613513382349373,0.524831429393806,0.460928652321631,0.328479017805574,0.39322561145411,0.637744382076761,0.60171982232435,0.445185949455701,0.339367085949476,0.550871497462729
23,3711.96192565055,802,0.449796542969429,0.672790010617181,0.343010301058581,0.43578517366305,0.613513382349373,0.524831429393806,0.460928652321631,0.328479017805574,0.39322561145411,0.637744382076761,0.60171982232435,0.445185949455701,0.313367499732167,0.550871497462729
24,3706.58106255633,792,0.449796542969429,0.582838426644383,0.343010301058581,0.43578517366305,0.613513382349373,0.524831429393806,0.460928652321631,0.328479017805574,0.39322561145411,0.637744382076761,0.69287417356942,0.445185949455701,0.313367499732167,0.550871497462729
25,3708.63344632026,794,0.699533708003043,0.582838426644383,0.343010301058581,0.43578517366305,0.613513382349373,0.524831429393806,0.460928652321631,0.328479017805574,0.39322561145411,0.637744382076761,0.451460181679279,0.445185949455701,0.313367499732167,0.550871497462729
26,3709.08628949052,795,0.699533708003043,0.582838426644383,0.343010301058581,0.43578517366305,0.613513382349373,0.524831429393806,0.460928652321631,0.335524037272203,0.39322561145411,0.630848157182994,0.451460181679279,0.445185949455701,0.313367499732167,0.550871497462729
