iteration,score,cut_edges
0,838,838
1,839,839
2,840,840
3,807,807
4,770,770
5,783,783
6,820,820
7,820,820
8,811,811
9,815,815
10,813,813
11,810,810
12,811,811
13,781,781
14,778,778
15,779,779
16,770,770
17,771,771
18,771,771
19,765,765
20,780,780
21,790,790
22,788,788
23,775,775
24,772,772
25,737,737
26,726,726
27,725,725
28,719,719
29,727,727
30,714,714
31,723,723
32,724,724
33,718,718
34,720,720
35,724,724
36,729,729
37,729,729
38,729,729
39,732,732
40,746,746
41,746,746
42,755,755
43,744,744
44,819,819
45,805,805
46,774,774
47,785,785
48,785,785
49,789,789
50,734,734
51,732,732
52,741,741
53,756,756
54,756,756
55,761,761
56,750,750
57,773,773
58,790,790
59,775,775
60,798,798
61,811,811
62,798,798
63,796,796
64,790,790
65,786,786
66,797,797
67,782,782
68,757,757
69,765,765
70,755,755
71,757,757
72,766,766
73,759,759
74,769,769
75,756,756
76,758,758
77,758,758
78,765,765
79,765,765
80,759,759
81,757,757
82,769,769
83,779,779
84,787,787
85,787,787
86,777,777
87,777,777
88,777,777
89,808,808
90,811,811
91,816,816
92,815,815
93,816,816
94,808,808
95,808,808
96,809,809
97,827,827
98,825,825
99,801,801
100,792,792
101,798,798
102,796,796
103,782,782
104,749,749
105,749,749
106,755,755
107,791,791
108,799,799
109,791,791
110,759,759
111,770,770
112,770,770
113,766,766
114,776,776
115,782,782
116,782,782
117,780,780
118,796,796
119,805,805
120,784,784
121,784,784
122,782,782
123,779,779
124,785,785
125,792,792
126,789,789
127,780,780
128,795,795
129,795,795
130,774,774
131,773,773
132,773,773
133,773,773
134,774,774
135,769,769
136,774,774
137,763,763
138,790,790
139,791,791
140,788,788
141,784,784
142,792,792
143,776,776
144,788,788
145,781,781
146,745,745
147,745,745
148,755,755
149,750,750
150,755,755
151,746,746
152,748,748
153,748,748
154,742,742
155,753,753
156,748,748
157,735,735
158,747,747
159,747,747
160,753,753
161,749,749
162,765,765
163,762,762
164,764,764
165,765,765
166,783,783
167,775,775
168,772,772
169,740,740
170,746,746
171,733,733
172,729,729
173,724,724
174,735,735
175,755,755
176,757,757
177,730,730
178,739,739
179,715,715
180,715,715
181,715,715
182,719,719
183,702,702
184,704,704
185,696,696
186,696,696
187,699,699
188,708,708
189,713,713
190,705,705
191,705,705
192,699,699
193,694,694
194,703,703
195,703,703
196,693,693
197,722,722
198,706,706
199,714,714
200,704,704
201,696,696
202,706,706
203,710,710
204,723,723
205,715,715
206,715,715
207,730,730
208,728,728
209,718,718
210,718,718
211,716,716
212,709,709
213,711,711
214,716,716
215,719,719
216,734,734
217,726,726
218,717,717
219,717,717
220,717,717
221,700,700
222,700,700
223,721,721
224,710,710
225,734,734
226,725,725
227,717,717
228,719,719
229,719,719
230,700,700
231,700,700
232,699,699
233,732,732
234,734,734
235,734,734
236,735,735
237,735,735
238,731,731
239,754,754
240,741,741
241,741,741
242,723,723
243,708,708
244,786,786
245,768,768
246,763,763
247,780,780
248,771,771
249,774,774
250,770,770
251,771,771
252,788,788
253,777,777
254,777,777
255,784,784
256,782,782
257,780,780
258,753,753
259,741,741
260,734,734
261,728,728
262,733,733
263,759,759
264,741,741
265,729,729
266,675,675
267,675,675
268,672,672
269,695,695
270,694,694
271,689,689
272,695,695
273,695,695
274,693,693
275,705,705
276,725,725
277,725,725
278,722,722
279,724,724
280,719,719
281,715,715
282,689,689
283,687,687
284,684,684
285,686,686
286,697,697
287,688,688
288,711,711
289,709,709
290,713,713
291,713,713
292,698,698
293,698,698
294,699,699
295,675,675
296,675,675
297,684,684
298,707,707
299,705,705
300,708,708
301,696,696
302,719,719
303,702,702
304,676,676
305,676,676
306,677,677
307,677,677
308,677,677
309,679,679
310,683,683
311,684,684
312,684,684
313,682,682
314,683,683
315,678,678
316,678,678
317,678,678
318,689,689
319,689,689
320,675,675
321,675,675
322,675,675
323,665,665
324,664,664
325,665,665
326,665,665
327,665,665
328,678,678
329,678,678
330,687,687
331,687,687
332,685,685
333,685,685
334,685,685
335,681,681
336,704,704
337,715,715
338,712,712
339,709,709
340,716,716
341,715,715
342,719,719
343,742,742
344,738,738
345,738,738
346,732,732
347,732,732
348,727,727
349,743,743
350,766,766
351,776,776
352,766,766
353,768,768
354,764,764
355,770,770
356,773,773
357,768,768
358,768,768
359,753,753
360,752,752
361,752,752
362,746,746
363,746,746
364,724,724
365,719,719
366,733,733
367,765,765
368,777,777
369,783,783
370,770,770
371,773,773
372,770,770
373,765,765
374,765,765
375,787,787
376,778,778
377,774,774
378,783,783
379,776,776
380,759,759
381,759,759
382,759,759
383,768,768
384,753,753
385,756,756
386,759,759
387,759,759
388,760,760
389,768,768
390,768,768
391,771,771
392,771,771
393,771,771
394,785,785
395,785,785
396,789,789
397,799,799
398,775,775
399,789,789
400,741,741
401,761,761
402,765,765
403,747,747
404,747,747
405,726,726
406,730,730
407,721,721
408,709,709
409,709,709
410,709,709
411,709,709
412,711,711
413,690,690
414,688,688
415,692,692
416,692,692
417,692,692
418,698,698
419,698,698
420,695,695
421,696,696
422,693,693
423,691,691
424,689,689
425,680,680
426,674,674
427,674,674
428,674,674
429,674,674
430,682,682
431,682,682
432,679,679
433,679,679
434,685,685
435,685,685
436,685,685
437,687,687
438,687,687
439,687,687
440,681,681
441,681,681
442,679,679
443,667,667
444,671,671
445,676,676
446,694,694
447,691,691
448,677,677
449,679,679
450,675,675
451,684,684
452,692,692
453,693,693
454,657,657
455,664,664
456,667,667
457,667,667
458,679,679
459,679,679
460,677,677
461,685,685
462,685,685
463,685,685
464,685,685
465,703,703
466,711,711
467,704,704
468,704,704
469,704,704
470,688,688
471,688,688
472,695,695
473,675,675
474,670,670
475,670,670
476,668,668
477,668,668
478,652,652
479,657,657
480,657,657
481,657,657
482,665,665
483,664,664
484,664,664
485,658,658
486,658,658
487,658,658
488,658,658
489,639,639
490,640,640
491,640,640
492,640,640
493,640,640
494,640,640
495,628,628
496,628,628
497,632,632
498,632,632
499,633,633
500,631,631
501,631,631
502,631,631
503,624,624
504,624,624
505,622,622
506,622,622
507,617,617
508,617,617
509,608,608
510,608,608
511,608,608
512,608,608
513,604,604
514,607,607
515,607,607
516,607,607
517,607,607
518,609,609
519,609,609
520,618,618
521,617,617
522,642,642
523,637,637
524,635,635
525,635,635
526,634,634
527,634,634
528,634,634
529,634,634
530,643,643
531,634,634
532,632,632
533,632,632
534,632,632
535,651,651
536,651,651
537,648,648
538,641,641
539,620,620
540,611,611
541,611,611
542,611,611
543,611,611
544,608,608
545,610,610
546,610,610
547,610,610
548,610,610
549,610,610
550,610,610
551,611,611
552,611,611
553,605,605
554,605,605
555,605,605
556,610,610
557,611,611
558,611,611
559,610,610
560,610,610
561,610,610
562,608,608
563,608,608
564,617,617
565,617,617
566,611,611
567,602,602
568,608,608
569,609,609
570,624,624
571,624,624
572,624,624
573,624,624
574,624,624
575,624,624
576,624,624
577,624,624
578,652,652
579,655,655
580,654,654
581,657,657
582,665,665
583,665,665
584,663,663
585,663,663
586,663,663
587,674,674
588,662,662
589,662,662
590,662,662
591,662,662
592,662,662
593,663,663
594,663,663
595,687,687
596,687,687
597,683,683
598,683,683
599,683,683
600,683,683
601,683,683
602,668,668
603,666,666
604,657,657
605,657,657
606,657,657
607,649,649
608,649,649
609,649,649
610,646,646
611,649,649
612,649,649
613,649,649
614,638,638
615,625,625
616,625,625
617,617,617
618,618,618
619,618,618
620,617,617
621,617,617
622,617,617
623,617,617
624,603,603
625,599,599
626,599,599
627,597,597
628,597,597
629,597,597
630,597,597
631,597,597
632,597,597
633,597,597
634,603,603
635,603,603
636,612,612
637,614,614
638,614,614
639,614,614
640,627,627
641,617,617
642,617,617
643,617,617
644,621,621
645,626,626
646,626,626
647,626,626
648,626,626
649,617,617
650,617,617
651,617,617
652,618,618
653,618,618
654,618,618
655,607,607
656,607,607
657,607,607
658,607,607
659,604,604
660,604,604
661,609,609
662,609,609
663,609,609
664,609,609
665,609,609
666,606,606
667,606,606
668,606,606
669,610,610
670,610,610
671,610,610
672,610,610
673,611,611
674,611,611
675,607,607
676,607,607
677,607,607
678,607,607
679,607,607
680,611,611
681,611,611
682,615,615
683,615,615
684,604,604
685,609,609
686,609,609
687,598,598
688,593,593
689,595,595
690,594,594
691,594,594
692,594,594
693,594,594
694,594,594
695,594,594
696,594,594
697,594,594
698,594,594
699,594,594
700,588,588
701,588,588
702,588,588
703,588,588
704,588,588
705,589,589
706,589,589
707,589,589
708,589,589
709,586,586
710,586,586
711,586,586
712,590,590
713,590,590
714,590,590
715,591,591
716,591,591
717,591,591
718,591,591
719,582,582
720,582,582
721,582,582
722,582,582
723,582,582
724,582,582
725,582,582
726,582,582
727,592,592
728,592,592
729,592,592
730,592,592
731,592,592
732,592,592
733,592,592
734,592,592
735,592,592
736,592,592
737,596,596
738,595,595
739,595,595
740,594,594
741,594,594
742,593,593
743,588,588
744,584,584
745,584,584
746,583,583
747,578,578
748,578,578
749,578,578
750,578,578
751,578,578
752,578,578
753,578,578
754,578,578
755,578,578
756,578,578
757,578,578
758,587,587
759,587,587
760,587,587
761,587,587
762,589,589
763,589,589
764,589,589
765,589,589
766,589,589
767,589,589
768,583,583
769,581,581
770,582,582
771,582,582
772,582,582
773,582,582
774,582,582
775,582,582
776,582,582
777,582,582
778,574,574
779,574,574
780,575,575
781,574,574
782,561,561
783,561,561
784,561,561
785,561,561
786,561,561
787,561,561
788,561,561
789,561,561
790,561,561
791,561,561
792,561,561
793,561,561
794,561,561
795,561,561
796,561,561
797,561,561
798,561,561
799,561,561
800,561,561
801,561,561
802,561,561
803,561,561
804,557,557
805,557,557
806,557,557
807,557,557
808,557,557
809,557,557
810,557,557
811,565,565
812,565,565
813,565,565
814,559,559
815,559,559
816,559,559
817,559,559
818,559,559
819,558,558
820,561,561
821,561,561
822,557,557
823,557,557
824,557,557
825,557,557
826,557,557
827,557,557
828,557,557
829,557,557
830,557,557
831,557,557
832,557,557
833,557,557
834,557,557
835,553,553
836,553,553
837,553,553
838,553,553
839,553,553
840,553,553
841,553,553
842,553,553
843,553,553
844,553,553
845,553,553
846,553,553
847,553,553
848,553,553
849,554,554
850,554,554
851,556,556
852,556,556
853,556,556
854,556,556
855,556,556
856,556,556
857,556,556
858,556,556
859,557,557
860,557,557
861,557,557
862,557,557
863,557,557
864,557,557
865,557,557
866,557,557
867,556,556
868,556,556
869,556,556
870,556,556
871,556,556
872,556,556
873,556,556
874,556,556
875,556,556
876,556,556
877,556,556
878,555,555
879,555,555
880,555,555
881,555,555
882,555,555
883,555,555
884,555,555
885,555,555
886,555,555
887,555,555
888,555,555
889,555,555
890,555,555
891,555,555
892,555,555
893,555,555
894,555,555
895,555,555
896,555,555
897,555,555
898,555,555
899,555,555
900,555,555
901,555,555
902,555,555
903,555,555
904,555,555
905,555,555
906,555,555
907,555,555
908,558,558
909,558,558
910,553,553
911,553,553
912,553,553
913,553,553
914,547,547
915,547,547
916,547,547
917,547,547
918,547,547
919,547,547
920,547,547
921,547,547
922,547,547
923,547,547
924,547,547
925,547,547
926,547,547
927,547,547
928,547,547
929,547,547
930,547,547
931,547,547
932,547,547
933,547,547
934,547,547
935,547,547
936,547,547
937,547,547
938,547,547
939,547,547
940,547,547
941,547,547
942,547,547
943,547,547
944,547,547
945,547,547
946,547,547
947,545,545
948,545,545
949,545,545
950,545,545
951,545,545
952,545,545
953,545,545
954,543,543
955,543,543
956,543,543
957,543,543
958,543,543
959,543,543
960,542,542
961,542,542
962,542,542
963,542,542
964,542,542
965,542,542
966,542,542
967,541,541
968,541,541
969,541,541
970,541,541
971,541,541
972,541,541
973,541,541
974,541,541
975,541,541
976,540,540
977,540,540
978,540,540
979,540,540
980,540,540
981,540,540
982,540,540
983,540,540
984,540,540
985,540,540
986,539,539
987,539,539
988,539,539
989,539,539
990,539,539
991,539,539
992,539,539
993,539,539
994,539,539
995,539,539
996,539,539
997,539,539
998,540,540
999,540,540
1000,540,540
