"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"37025012-12",11,9,9,7,4
"37025012-11",11,9,9,7,4
"37025012-10",11,9,9,7,4
"3700300T2T3",13,1,13,9,2
"3712500EKWD",2,11,3,7,4
"371370005AP",4,6,6,8,8
"3704300TUSQ",1,10,10,10,10
"37191000001",4,5,11,11,6
"3715900019A",11,9,9,7,4
"370510G3A-2",2,11,3,3,11
"37167000022",11,2,9,7,4
"370510G3A-1",2,11,3,3,11
"37167000021",11,2,9,7,4
"3700100003S",9,12,8,4,7
"37115GRAPEV",1,10,10,10,10
"37167000020",11,2,9,7,4
"37183004-05",6,4,4,6,3
"37125000WND",2,11,3,7,4
"37191000029",4,5,11,11,6
"37183004-04",6,4,4,6,3
"3700100003N",9,12,8,4,7
"37191000028",4,5,11,11,6
"37183004-03",6,4,4,6,3
"37191000027",4,5,11,11,6
"370210044.1",1,10,10,10,10
"37183004-02",6,4,4,6,3
"37191000026",4,5,11,11,6
"37183004-01",8,4,4,6,3
"37167000028",11,2,9,7,4
"37191000024",4,5,11,11,11
"3716300CLNE",2,11,3,3,11
"37167000027",11,2,9,7,4
"37167000026",11,2,9,7,4
"37167000025",11,2,9,7,4
"3700100003W",9,12,8,4,7
"37167000024",11,2,9,7,4
"37167000023",11,2,9,7,4
"37025012-03",11,9,9,7,4
"370810NWASH",9,12,8,4,7
"37023000066",13,1,13,9,2
"37023000065",13,1,13,13,10
"37123000STA",11,2,9,7,4
"37023000064",13,1,13,13,10
"37023000062",13,1,13,9,2
"37025012-09",11,9,9,7,4
"37147001501",4,6,6,8,8
"37025012-08",11,9,9,7,4
"37025012-06",11,9,9,7,4
"37025012-05",11,9,9,7,4
"37025012-04",11,9,9,7,4
"37147001509",4,6,6,8,8
"37147001507",4,6,6,8,8
"37147001506",4,6,6,8,8
"37191000018",4,5,11,11,6
"37191000017",4,5,11,11,6
"37023000070",13,1,13,9,2
"3714100LT18",3,3,5,5,5
"37191000016",4,5,11,11,6
"3712700P06A",5,6,6,8,8
"37147001503",4,6,6,8,8
"37191000015",4,5,11,11,6
"37191000014",4,5,11,11,6
"37067000405",12,13,2,2,9
"37191000013",4,5,11,11,6
"37067000404",12,13,2,2,9
"3712500WKWD",2,11,3,7,4
"3707700EAOX",5,12,12,12,12
"37067000403",12,13,2,2,9
"37067000402",12,13,2,2,9
"37067000401",12,13,2,2,9
"3713300HN14",3,3,5,5,5
