"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500"
"37025012-12",11,13,13,1,8,10,1,4,5,1,5,4,9,13,2,1,1,11,13,4,4,9,9,4,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37025012-11",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,3,12,4,4,4,4,4,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"37025012-10",11,13,13,1,8,10,12,1,5,1,5,4,9,13,2,1,1,11,13,4,4,7,7,4,9,7,2,5,12,11,11,11,11,4,4,11,11,8,8,10,1,1,1,1,1,1,8,13,13,13,13
"3700300T2T3",8,7,2,8,5,5,5,1,7,5,1,1,6,1,12,6,13,9,7,7,6,1,1,13,3,9,9,10,10,13,7,7,13,9,9,9,9,9,13,13,7,7,7,7,7,7,7,1,1,1,1
"3712500EKWD",13,12,11,3,4,4,6,7,2,3,10,5,12,7,4,2,2,7,4,2,2,11,11,11,11,2,5,1,11,12,1,4,4,11,11,4,6,6,6,8,10,10,8,8,8,8,11,11,11,11,11
"371370005AP",3,4,4,4,11,11,7,12,8,11,3,3,3,5,1,7,7,2,8,8,5,8,8,8,1,12,11,11,2,8,12,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"3704300TUSQ",1,1,5,2,2,13,13,13,13,13,13,6,1,9,9,12,12,12,9,6,13,6,13,6,10,10,4,4,9,9,9,9,7,7,7,7,7,7,7,7,9,9,9,9,9,6,6,6,6,6,6
"37191000001",6,6,9,11,6,1,11,8,9,12,12,12,5,3,11,7,7,3,5,5,8,5,3,2,12,11,8,6,6,6,8,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
"3715900019A",8,13,2,8,8,5,12,1,5,1,5,4,6,13,10,1,8,10,3,12,4,4,4,4,4,6,3,13,4,4,11,11,10,10,10,10,8,11,11,11,11,11,13,13,11,11,1,7,7,7,7
"370510G3A-2",9,12,11,3,4,1,11,7,3,3,10,12,12,2,4,4,4,7,4,2,2,11,11,11,11,2,5,1,11,12,1,4,4,11,11,4,6,6,6,8,10,10,8,8,8,8,11,11,11,11,11
