"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000"
"37025012-12",8,6,7,11,11,10,4,2,7,11,8,6,11,6,10,9,4,9,5,5,4,2,8,7,7,7,9,4,7,8,12,8,10,10,1,5,10,11,11,11,9,5,5,5,5,9,3,3,8,8,10,10,10,10,10,10,10,10,10,3,3
"37025012-11",8,6,7,11,11,10,4,2,7,2,8,6,7,6,13,9,4,9,5,5,4,2,8,7,7,7,9,4,7,8,12,8,10,10,1,5,10,13,8,8,5,5,5,5,5,9,3,3,8,8,10,10,10,10,10,10,10,10,10,3,3
"37025012-10",8,6,7,11,11,10,4,2,1,11,8,6,7,6,13,10,4,9,5,5,4,2,8,7,7,7,9,4,7,8,12,8,13,10,1,5,10,11,11,11,9,8,10,10,10,5,5,8,10,10,10,10,10,10,10,10,11,11,11,11,11
"3700300T2T3",5,4,1,10,10,12,12,5,2,5,12,13,2,13,9,1,9,11,2,2,2,11,11,4,3,11,6,8,9,9,6,9,9,6,10,8,8,8,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,13
"3712500EKWD",11,6,8,8,8,10,7,12,13,1,3,11,7,1,13,12,11,5,9,5,4,2,8,7,7,7,9,4,4,8,12,8,13,9,1,5,10,11,11,11,9,8,10,10,10,5,5,8,10,10,8,8,8,11,11,11,11,11,11,11,11
"371370005AP",6,2,12,5,13,2,9,8,8,10,5,8,5,9,8,5,5,13,13,13,7,13,9,9,2,5,13,13,10,11,2,11,11,12,7,6,2,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,4,4,4,7
"3704300TUSQ",1,1,4,1,1,1,11,11,5,12,2,12,13,2,2,2,2,2,3,3,11,4,4,11,11,3,3,3,6,6,9,3,3,3,3,3,3,3,3,1,1,1,1,1,13,13,13,13,13,13,13,13,13,13,13,13,1,1,1,1,1
"37191000001",13,9,9,13,2,5,10,6,6,8,6,7,3,8,3,12,10,1,9,6,7,12,13,5,5,12,2,12,2,11,11,4,4,4,4,4,7,4,4,4,4,6,6,4,6,6,6,6,6,12,12,12,12,12,7,12,12,4,4,4,7
"3715900019A",5,6,7,11,11,10,4,2,7,2,8,6,7,6,13,9,4,9,5,5,4,1,8,7,8,7,9,4,7,8,12,8,13,9,1,5,5,13,8,8,5,5,5,5,5,9,3,3,8,8,10,10,10,9,9,9,9,3,3,3,3
"370510G3A-2",12,12,2,8,5,6,8,3,10,6,11,1,9,5,3,12,6,1,9,6,13,12,13,13,5,12,11,11,13,7,7,2,7,11,6,7,11,10,10,2,2,4,4,12,12,12,12,12,12,6,2,2,5,5,5,5,5,2,12,2,12
"37167000022",11,6,7,7,11,10,7,7,1,2,8,6,7,6,13,10,11,5,5,5,4,2,8,7,7,7,9,4,7,8,12,8,13,9,1,5,10,11,11,11,9,8,10,10,10,5,5,8,10,10,8,8,8,11,11,11,11,11,11,11,11
"370510G3A-1",12,12,2,8,5,6,8,3,10,6,11,1,9,5,3,12,6,1,9,6,13,12,13,13,5,12,11,11,13,7,7,2,7,11,6,7,11,10,10,2,2,4,4,12,12,12,12,12,12,6,2,2,5,5,5,5,5,2,12,2,12
