"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37025012-12",6,17,32,32,32,39,31,31,39,39,30,29,29,29,11,34,11,21,20,20,29,38,38,38,37,25,37,19,11,11,11,11,11,11,20,20,6,34,34,20,20,20,20,6,9,6,35,35,34,23,20,20,6,6,40,40,15,15,37,37,37,37,40,37,37,37,37,37,39,39,8,8,20,40,31,31,31,31,31,31,31,31,31,31,31,23,24,24,24,20,20,6,6,6,6,6,6,6,6,6,6
"37025012-11",6,17,32,32,32,39,31,31,39,39,34,29,29,29,11,34,11,21,20,20,29,38,38,38,37,25,37,19,11,11,11,11,11,11,20,20,6,34,34,20,20,20,20,6,9,6,35,35,34,23,35,20,6,6,40,40,15,15,37,37,37,37,40,37,37,37,37,37,39,39,8,8,20,40,31,31,31,31,31,31,31,31,31,31,31,23,24,24,24,20,20,6,6,6,6,6,6,6,6,6,6
"37025012-10",6,17,32,32,40,31,31,31,39,39,34,29,29,29,11,34,11,21,20,20,29,38,38,38,37,25,37,19,11,11,11,11,11,11,20,20,6,34,34,20,20,20,20,6,9,6,35,35,34,23,20,20,6,6,40,40,15,15,37,37,37,37,40,37,37,37,37,37,39,39,8,8,20,40,31,31,31,31,31,31,31,31,31,31,31,23,24,24,24,20,20,6,6,6,6,6,6,6,6,6,6
"3700300T2T3",37,3,3,3,3,3,11,11,32,29,29,8,3,30,40,19,25,19,19,1,25,34,19,39,39,39,34,8,8,47,34,47,47,47,25,21,17,25,25,25,25,7,8,8,8,8,8,8,8,8,8,32,17,17,9,9,9,27,9,39,39,8,34,34,1,1,27,40,40,40,39,39,39,9,9,20,20,48,48,48,48,20,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,34,34,34
"3712500EKWD",34,34,34,27,15,15,46,46,13,34,14,14,11,11,49,30,30,27,38,14,14,29,13,14,33,5,5,17,17,17,17,17,17,40,40,1,49,49,1,1,23,23,9,2,33,1,44,44,4,26,5,5,5,27,25,25,25,35,35,35,35,35,28,28,28,14,19,46,26,35,35,19,19,28,28,28,28,13,28,13,22,8,14,50,41,50,50,50,50,50,5,5,5,22,22,22,22,5,27,27,27
"371370005AP",18,18,23,46,22,22,35,22,22,22,17,17,12,12,43,43,43,12,12,17,46,45,46,18,46,18,18,18,18,18,18,18,18,26,26,14,28,26,26,28,45,45,27,45,45,45,30,28,30,45,45,45,41,41,41,19,41,30,47,47,30,30,30,21,21,21,30,30,30,30,30,29,29,29,4,4,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,30,30,30,30,49,49,49,49,49,44
"3704300TUSQ",1,1,8,8,1,1,1,1,1,1,1,1,1,10,10,10,10,10,3,3,3,48,3,48,3,3,3,36,39,39,36,36,36,39,39,39,39,39,36,36,39,36,36,36,38,38,38,38,38,38,38,3,3,3,3,3,3,3,3,36,36,36,36,36,36,36,36,36,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,1,1,1,1,1,1,1,1,1,1
"37191000001",46,9,9,9,7,7,50,50,33,33,22,43,28,50,15,17,17,17,17,12,43,22,17,29,29,22,22,28,30,28,28,14,14,5,14,28,35,29,43,14,9,26,26,43,43,26,43,43,43,43,33,33,33,43,43,43,45,50,50,50,44,44,44,44,44,44,44,44,33,43,33,44,18,44,43,43,4,44,33,33,33,4,10,10,10,10,43,10,10,10,10,44,21,21,18,18,16,16,16,43,43
"3715900019A",38,10,40,40,31,32,25,25,11,11,11,11,38,49,30,29,29,29,29,29,19,25,25,19,19,37,25,40,40,1,1,1,40,17,1,6,20,1,20,34,32,34,34,9,34,7,7,7,35,35,35,34,20,7,15,15,40,40,27,27,40,40,37,40,27,27,8,27,27,27,27,20,42,42,42,20,17,6,6,3,3,3,3,3,3,3,3,15,3,3,3,39,39,39,39,20,20,20,20,20,20
"370510G3A-2",13,13,15,13,13,13,13,16,16,50,33,33,27,33,33,27,27,50,13,33,33,33,33,13,14,14,14,14,5,32,32,5,27,27,16,16,32,18,44,44,18,18,1,1,25,16,16,25,25,2,2,2,25,14,14,14,14,14,25,25,25,25,25,13,25,50,50,50,50,50,25,25,25,25,25,25,30,19,19,19,19,19,19,19,19,19,19,28,19,19,19,19,19,19,19,19,19,19,19,19,28
