"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000"
"37025012-12",13,5,5,5,7,7,7,11,10,6,1,4,4,5,3,3,11,13,13,13,7
"37025012-11",13,3,5,5,7,7,7,11,11,7,1,4,4,5,3,3,11,13,13,13,7
"37025012-10",10,3,5,5,7,7,7,11,11,7,1,4,4,5,3,3,11,13,13,13,7
"3700300T2T3",3,3,12,13,13,5,5,5,10,10,13,13,6,6,6,7,13,11,11,11,11
"3712500EKWD",6,6,7,11,8,6,12,2,3,4,11,1,1,10,11,12,9,4,7,4,4
"371370005AP",1,9,14,1,14,3,3,1,4,2,12,14,12,1,1,9,14,14,12,14,14
"3704300TUSQ",2,4,13,4,2,13,13,13,6,5,6,6,13,13,13,8,8,8,8,8,8
"37191000001",8,7,11,14,14,4,4,4,7,9,9,2,9,11,12,14,14,14,12,14,14
"3715900019A",13,3,5,5,7,11,11,11,11,7,1,4,4,5,3,3,11,13,13,13,7
"370510G3A-2",6,6,7,11,8,6,12,2,3,4,11,1,2,9,9,2,10,2,2,2,2
"37167000022",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"370510G3A-1",6,6,7,11,8,6,12,2,3,4,11,1,2,9,9,2,10,2,2,2,2
"37167000021",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"3700100003S",12,14,8,3,10,14,9,9,14,11,3,7,1,10,14,12,9,9,9,9,1
"37115GRAPEV",2,4,13,4,2,13,13,13,6,5,6,6,13,13,13,8,8,8,8,8,8
"37167000020",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37183004-05",11,11,3,7,6,9,6,12,1,3,4,9,7,14,11,12,9,4,7,4,4
"37125000WND",6,6,7,11,8,12,12,2,3,11,11,7,1,10,11,12,9,4,7,4,4
"37191000029",8,7,11,14,14,4,4,4,7,9,9,2,9,2,9,10,14,14,12,14,14
"37183004-04",11,8,3,7,6,9,6,12,1,3,4,11,7,14,11,12,9,4,7,4,4
"3700100003N",12,14,8,3,10,14,9,9,14,11,3,7,1,10,14,11,4,9,9,9,1
"37191000028",8,7,11,14,14,4,4,4,7,9,9,2,9,2,9,10,14,14,12,14,14
"37183004-03",11,8,3,7,6,1,6,12,1,3,4,11,11,14,11,12,9,4,7,4,4
"37191000027",7,7,11,14,14,4,4,4,7,9,9,2,9,2,9,10,14,14,12,14,14
"370210044.1",2,4,13,4,2,13,13,13,6,5,6,6,13,13,13,8,8,8,8,8,8
"37183004-02",11,8,3,7,6,9,6,12,1,3,4,11,11,14,11,12,9,4,7,4,4
"37191000026",7,7,11,14,14,4,4,4,7,9,9,2,9,2,9,10,14,14,12,14,14
"37183004-01",11,8,9,7,6,9,6,12,1,3,4,9,7,14,11,12,9,4,7,4,4
"37167000028",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37191000024",7,7,11,14,14,4,4,4,7,9,9,2,9,2,9,10,14,14,12,14,14
"3716300CLNE",7,7,11,14,8,6,4,4,3,12,2,2,9,2,9,10,2,10,10,10,10
"37167000027",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37167000026",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37167000025",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"3700100003W",12,14,8,3,10,14,9,9,14,11,3,7,1,10,14,11,4,9,9,9,1
"37167000024",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37167000023",10,5,10,10,4,10,10,14,11,7,1,4,4,5,3,3,11,13,13,13,7
"37025012-03",13,3,5,5,7,7,7,11,11,7,1,4,4,5,3,3,11,13,13,13,7
"370810NWASH",12,12,2,12,10,14,9,8,2,11,3,3,3,7,4,4,7,7,4,7,3
"37023000066",3,13,12,13,13,5,5,5,10,10,10,13,6,6,6,7,13,3,11,11,11
"37023000065",3,13,12,13,13,5,5,5,10,10,10,13,6,6,6,7,13,3,11,11,11
"37123000STA",10,5,10,10,4,10,10,14,11,11,1,4,4,5,3,3,11,13,13,13,7
"37023000064",3,13,12,13,13,5,5,5,10,10,10,13,6,6,6,7,13,3,11,11,11
"37023000062",3,13,12,13,13,5,5,5,10,5,10,13,6,6,6,7,13,3,11,11,11
