"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500"
"37025012-12",10,1,7,7,6,7,4,11,11,5,4,9,4,14,2,2,4,2,13,13,10,7,11,5,5,14,14,14,14,12,12
"37025012-11",10,1,1,1,6,7,12,11,4,5,4,9,9,14,2,2,4,2,11,13,10,7,11,5,5,14,14,14,14,12,12
"37025012-10",10,1,7,7,10,7,12,11,11,5,4,9,4,14,2,2,4,2,13,13,10,7,11,11,5,14,4,11,12,3,3
"3700300T2T3",14,3,13,1,2,12,4,7,12,13,1,10,8,8,10,10,10,10,4,4,10,7,11,11,8,11,14,14,10,12,12
"3712500EKWD",11,8,8,11,1,7,13,4,13,4,9,1,5,11,6,12,2,1,14,6,9,2,5,2,2,2,2,1,1,4,4
"371370005AP",9,4,5,6,8,8,6,6,3,3,11,3,14,1,11,1,1,9,1,12,5,3,7,13,3,12,13,13,6,9,9
"3704300TUSQ",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37191000001",11,2,14,9,9,9,3,8,8,9,6,14,12,5,1,6,6,6,7,1,5,13,13,13,6,13,13,2,6,11,2
"3715900019A",13,12,1,1,6,10,4,7,4,5,4,9,4,11,10,10,4,2,11,13,10,7,11,11,8,14,14,14,14,12,12
"370510G3A-2",11,2,6,4,1,1,9,3,9,11,2,12,12,4,6,11,11,3,12,7,7,2,4,8,4,7,2,1,1,4,4
"37167000022",13,14,8,7,10,13,13,11,13,5,4,9,4,2,14,12,2,1,14,14,10,2,4,8,4,7,4,1,12,3,3
"370510G3A-1",11,14,6,4,1,3,14,3,9,11,2,12,12,11,6,11,11,3,12,7,7,2,4,8,4,7,2,1,4,4,4
"37167000021",13,14,8,7,10,13,13,4,13,4,4,1,5,2,14,12,2,1,13,13,6,2,4,8,4,14,4,1,12,3,3
"3700100003S",1,11,9,5,5,5,1,13,2,14,14,2,7,7,7,7,14,14,3,5,12,5,2,3,2,1,3,11,12,14,5
"37115GRAPEV",7,10,10,13,2,2,2,2,7,13,10,13,13,13,4,13,13,13,4,2,11,9,14,10,14,10,8,8,8,10,10
"37167000020",10,14,7,3,6,13,13,4,13,4,9,9,4,11,2,2,4,1,13,13,10,2,11,11,5,14,4,11,12,3,3
"37183004-05",5,9,2,11,4,1,8,14,14,2,12,11,3,3,9,3,7,7,8,3,1,12,3,7,13,6,11,9,2,1,11
"37125000WND",13,8,8,3,6,7,13,4,13,4,9,1,5,11,6,12,2,1,14,14,6,11,5,2,2,2,4,1,1,4,4
"37191000029",11,4,4,9,9,9,3,8,8,3,3,14,14,5,1,6,6,6,7,1,5,13,13,13,6,13,13,4,6,11,2
"37183004-04",2,9,2,11,4,1,8,14,14,2,12,6,3,3,9,3,7,7,8,3,1,12,3,3,13,6,11,9,2,2,5
"3700100003N",1,11,9,14,5,5,1,13,2,14,14,2,7,7,7,7,3,11,3,9,12,5,2,2,9,1,1,11,12,14,5
"37191000028",11,4,14,9,9,9,3,9,8,3,3,5,14,5,12,6,1,6,7,1,3,13,13,13,7,13,13,4,6,11,2
"37183004-03",5,9,2,11,14,6,8,14,14,2,12,11,3,3,9,3,7,7,8,3,1,12,3,3,13,6,11,9,2,2,11
"37191000027",11,4,4,9,9,9,3,8,8,9,3,5,14,5,12,6,6,6,7,1,5,13,13,13,7,13,13,4,6,11,2
"370210044.1",7,10,10,13,13,2,2,2,7,10,10,13,13,13,13,13,13,13,2,2,11,10,10,10,14,10,8,8,8,10,10
"37183004-02",2,9,2,11,4,1,8,14,14,2,12,11,3,3,9,3,7,7,8,3,1,12,3,3,13,6,11,9,2,2,11
"37191000026",11,4,4,8,9,9,3,9,8,9,3,5,12,5,12,6,6,6,7,1,3,13,13,6,7,13,13,4,6,11,2
"37183004-01",2,9,2,11,4,1,8,14,14,2,5,6,3,3,9,3,7,7,8,3,1,12,3,3,13,6,11,9,2,2,5
"37167000028",13,14,8,3,6,13,13,4,13,4,9,1,5,11,6,12,2,1,14,14,9,2,4,8,4,7,4,1,12,3,3
"37191000024",11,2,14,8,9,9,3,8,8,9,3,5,12,5,12,6,6,6,7,1,3,13,13,6,7,13,9,6,6,11,2
"3716300CLNE",11,2,14,9,3,3,14,9,9,4,9,5,6,4,12,6,6,6,12,1,7,8,8,8,7,4,9,6,4,4,2
"37167000027",13,14,8,3,6,7,13,4,13,4,9,1,5,11,6,12,2,14,13,14,9,7,11,11,8,7,4,1,12,3,3
"37167000026",13,14,8,7,10,13,13,4,13,4,9,1,5,11,6,12,2,1,13,14,6,2,4,8,4,14,4,1,12,3,3
"37167000025",10,14,7,7,10,13,12,11,13,5,4,9,4,14,14,12,2,1,13,13,6,2,4,8,11,7,14,14,14,12,12
"3700100003W",1,11,9,5,5,5,1,13,2,14,14,2,7,7,7,7,14,14,3,9,12,5,2,2,2,1,1,11,12,14,5
"37167000024",10,14,7,7,10,13,12,11,11,5,4,9,4,11,2,2,4,1,13,13,14,14,11,11,11,7,14,14,14,12,12
"37167000023",10,14,8,7,10,13,13,4,13,5,4,9,4,11,2,12,2,1,13,13,10,2,4,8,4,7,4,1,12,3,3
"37025012-03",10,1,1,1,6,7,4,11,4,5,4,9,9,14,4,10,4,2,11,13,10,7,11,5,5,14,14,14,14,12,12
"370810NWASH",1,11,9,5,5,5,1,13,2,14,14,2,7,7,7,7,8,14,13,9,12,6,2,2,2,1,1,11,13,14,5
"37023000066",12,3,13,10,2,12,7,12,1,13,13,4,8,9,4,8,10,10,4,4,2,9,14,14,10,8,7,7,10,8,8
"37023000065",12,3,13,10,2,12,7,12,1,1,13,4,8,9,4,8,10,10,4,4,2,9,14,14,10,8,7,7,10,8,8
"37123000STA",13,14,8,3,6,7,13,4,13,4,9,1,5,11,6,9,14,14,14,14,9,11,5,2,2,2,4,11,12,3,3
"37023000064",12,3,13,10,2,12,7,12,1,1,13,4,8,9,4,8,10,10,4,4,2,9,14,14,10,8,7,7,10,8,8
"37023000062",12,3,13,10,2,12,7,12,1,13,13,4,8,9,4,8,10,10,4,2,2,9,14,14,10,8,7,7,10,8,8
"37025012-09",10,1,12,7,10,11,4,11,4,1,4,9,4,14,2,2,4,2,13,13,10,7,11,5,5,14,14,14,14,12,12
